chat_user;dialog_str;line;request_text;result;sure_topic;type
69339a2ff48d95668e1e262b; driver\n1026513 nije uplacena.;intl_srb_driver;1026513 nije uplacena.;sr;Drugoe;drivers
69422c42f48d95668e565c80; driver\nMene sifaris vermir;taxi_intl_aze_driver_premium;Mene sifaris vermir;az;Drugoe;drivers
693b14acf48d95668ea87e0a; driver\n21000 йул Кира 200 000 сум пул бердим олиб кочиб кетди\n\n operator\nAssalomu alaykum!\n\nMen sizning xabaringizni ko'rmoqdaman, men hamma narsani diqqat bilan tekshiraman. Agar bizning yordam kerak bo'lsa - men javob bilan tez orada qaytaman.\n\n operator\nBunday vaziyatga tushganingizdan afsusdaman. Unga yechim topish uchun huquqni muhofaza qiluvchi organlarga murojaat qilishingiz mumkin. Ichki ishlarning rasmiy talabnomasi boʻyicha zaruriy maʼlumotni taqdim etamiz.\n\n driver\nРахмат;intl_uzb_driver;Рахмат;uz;Drugoe;drivers
6958a8d7f48d95668ecda2d4; driver\nМиат аис заказ@ наек  3км мотецум ек 21км аварт,ашвум ек 1900,...\n\n operator\nԲարև ձեզ։\n\nՄենք ստացել ենք ձեր հաղորդագրությունը․ կաշխատենք պատասխանել հնարավորինս արագ։\n\n driver\nЕс инч ек анум??\n\n operator\nԱրդեն ստուգում եմ ձեր հարցին առնչվող տեղեկությունները, բայց կարող է մի փոքր ժամանակ պահանջվել։ Կկապվեմ Ձեզ հետ անմիջապես, հենց որ ամեն ինչ իմանամ։\n\n operator\nԱյս պատվերի գնի հետ ամեն ինչ կարգին է։ Այն հաշվարկվել է ավտոմատ կերպով, համակարգը հաշվի է առել մեքենայի մոտեցումը, ուղևորության տևողությունը և ճանապարհային իրավիճակը։ \n\nԴիմեք խնդրեմ, եթե այլ հարցեր են մնացել, միշտ պատրաստ եմ օգնել։\n\n driver\nЕс чем асканум ес инч ек анум 3,5 км мотецум ек талис 500др ек грум ес инч аннормал вичака????;intl_arm_driver;Ес чем асканум ес инч ек анум 3,5 км мотецум ек талис 500др ек грум ес инч аннормал вичака????;hy;Drugoe;drivers
695578dbf48d95668ef0b8c8; driver\nየዚህ ሳምንት ግብ መርጬ ሰርቼ ነበር ለምን እንደተሰረዘ አልገባኝም አንድ ውድ ሁለት ሰርቼ ነበር;taxi_intl_eth_drivers;የዚህ ሳምንት ግብ መርጬ ሰርቼ ነበር ለምን እንደተሰረዘ አልገባኝም አንድ ውድ ሁለት ሰርቼ ነበር;am;Drugoe;drivers
69520110f48d95668e19eb54; driver\nЕсли навигатор покажут путь но я еду более коротким путем стоимость маршрута изменяется или остается также?;intl_ru_driver;Если навигатор покажут путь но я еду более коротким путем стоимость маршрута изменяется или остается также?;ru;Drugoe;drivers
6948ec83f48d95668e1f11b3; driver\nMero hijo 21 dec ride garyako 22 Dec MA bonus aaunu parney aayan please check my  id;organisations/yandex/lines/taxi-intl-nepal-driver;Mero hijo 21 dec ride garyako 22 Dec MA bonus aaunu parney aayan please check my  id;ne;Drugoe;drivers
69452a1cf48d95668ef89a8e; driver\n266193 trip was faulty, both pick up and destination address were incorrect;organisations/yandex/lines/taxi-prod-intl-driver-bwa;266193 trip was faulty, both pick up and destination address were incorrect;en;Otzyv_o_passajire_Ukazal_nepravil_nyj_adres;drivers
693f0521f48d95668e943285; driver\nSalaam alaikum sugar id najdeek de diya Karen Badi dur milati Hain Rai de\n\n driver\nMy area chalata hun tujhe riding Badi dur dur milte Hain jaise ki main suggestion per khada hun to mujhe dastgir bulate Hain;taxi_intl_pak_driver;Salaam alaikum sugar id najdeek de diya Karen Badi dur milati Hain Rai de;ur;Drugoe;drivers
694582e5f48d95668e715f9b; driver\nLocation ma puge paxi pon uthaudaina smg gardai smg firda audaina ani cancel garnu parxa aagai so tesai le pro  level gateko ho sir\n\n operator\nनमस्कार,\n\nम अहिले यो समस्याको बारेमा हेरिरहेको छु र सकेसम्म चाँडो तपाईंलाई सम्पर्क गर्ने छु। \n\n operator\nतपाईंले अर्डरहरू छाड्दा वा रद्द गर्दा प्रो स्तर घट्छ र तपाईंले तिनीहरू पूरा गर्दा यो बढ्छ। कृपया तपाईं आफ्नो प्रो स्तर उच्च राख्न चाहनुहुन्छ भने अर्डरहरू नछाड्नुहोस् वा स्वीकार गरिएका अर्डरहरू रद्द नगर्नुहोस्।\n\n driver\nMa pani indrive garne manxe ho tara malai yango  ramro lagyo yango garam ki vaneko pro level kam vayara tip garna sakena sir\nPro level karai kam vayo k vayo thaha thiyana tara  yango sathi haru loi  sodeko yasto garna hudaina vanera vannyo ani thaha vayo first ma pro level 100 huda ta maile dina ma 8 tip suru garyo testo paxi 13 ani 16 ani ani 28 tip samma gartyo din ma;organisations/yandex/lines/taxi-intl-nepal-driver;"Ma pani indrive garne manxe ho tara malai yango  ramro lagyo yango garam ki vaneko pro level kam vayara tip garna sakena sir
Pro level karai kam vayo k vayo thaha thiyana tara  yango sathi haru loi  sodeko yasto garna hudaina vanera vannyo ani thaha vayo first ma pro level 100 huda ta maile dina ma 8 tip suru garyo testo paxi 13 ani 16 ani ani 28 tip samma gartyo din ma";ne;Drugoe;drivers
694ddd69f48d95668e15d69c; driver\nHaina Mero asti ko Pani paisha ac ma aako chaina Ani hijo ko Pani dekhaudina sir;organisations/yandex/lines/taxi-intl-nepal-driver;Haina Mero asti ko Pani paisha ac ma aako chaina Ani hijo ko Pani dekhaudina sir;ne;Drugoe;drivers
6935fdeef48d95668e593bbb; driver\nEstamos em paragem ao pedido do cliente;taxi_intl_ago_driver;Estamos em paragem ao pedido do cliente;pt;Otzyv_o_passajire_Ne_vysel_ili_otmenil_na_polputi;drivers
6947a077f48d95668e42d936;;organisations/yandex/lines/taxi-prod-intl-partner-urdu;"Assalam o Alaikum,

Hamein aapki darkhwast moosool ho gayi hai jiski tamaam tafseelaat ko achi tarah se check kiya ja raha hai. Agar is mamlay ko hal karne mein apki madad chahiya hui, to hum aap se jald az jald raabta karenge.";ur;Drugoe;drivers
694be309f48d95668e222bab; driver\nBlue zone means what;organisations/yandex/lines/taxi-intl-nepal-driver;Blue zone means what;en;Drugoe;drivers
693af6e3f48d95668e649815; driver\nMerhaba, TUR18533 sürücü belgeli Kılıçgil Furkan yeni kayıt olduğu halde hesabındaki pro seviye puanı aniden 100 den 4 e düşmüştür. Sürücü hiç bir yolculuk yapmamıştır. Bu bir sistemsel hatadır. Lütfen acilen hatanızı düzeltiniz.\n\n operator\nMerhaba!\n\nBize ulaştığınız için teşekkür ederiz.\nKonu hakkında hemen bir inceleme başlatıyorum.\n\nGerekli kontrolleri yapıp ilgili ekiple iletişime geçeceğim.\nYeni bir bilgi aldığımda size en kısa sürede dönüş yapacağım.\n\n operator\nGeri bildiriminiz için teşekkür ederiz! Şu anda öncelik tarafında bazı sorunlar yaşanmaktadır. Bilgiyi geliştiricilere iletiyoruz. Konunun önemini biliyoruz ve durumu en kısa sürede çözmek için çalışıyoruz.\n\n driver\nGeri dönüş sağlar mısınız;organisations/yandex/lines/taxi-intl-turkish-parks;Geri dönüş sağlar mısınız;tr;Drugoe;drivers
693a4483f48d95668e15e3da; driver\nAssalamOAlaikum;taxi_intl_pak_driver;AssalamOAlaikum;ur;Drugoe;drivers
693d071af48d95668e113e02; driver\nkecha kóp zakazlarim atmen bóldi judayam kóp biror nma qilila;intl_uzb_driver;kecha kóp zakazlarim atmen bóldi judayam kóp biror nma qilila;uz;Drugoe;drivers
6939d1d5f48d95668e22db37; driver\nLe trajet à duré par ce que ya vais pas route,le prix était plus petit\n\n operator\nBonjour, \n\nJe vois votre message. Je suis déjà en train de tout vérifier.\n\nEn attendant ma réponse, assurez-vous que vous m'avez fait parvenir le numéro de commande ou une capture d'écran, afin d'accélérer la résolution du problème technique.\n\nSi vous avez déjà fourni ces informations, ne faites rien de plus. Je reviens vers vous au plus vite !\n\n driver\nLa course est terminée ,ya vais l'embouteillage de la circulation, à cause le prix est plus petit\n\n operator\nBonjour M. Camara,\n\nJe vais avoir besoin du numéro de la commande. Vous pouvez le trouver de cette façon:\n\n1. Ouvrez l'application.\n2. Accédez à l'historique des commandes.\n3. Faites défiler vers le bas.\n4. Le numéro de commande est celui avec 5 chiffres ou plus. \n\nVeuillez garder à l'esprit qu'il ne s'agit pas du numéro de téléphone de l'utilisateur.\n\n driver\nVoilà mon numéro :  05-94-37-42-04;intl_civ_driver;Voilà mon numéro :  05-94-37-42-04;fr;Drugoe;drivers
69551444f48d95668e98e0e5;;organisations/yandex/lines/taxi-prod-intl-partner-urdu;"Hi,

I've received your request and will thoroughly check all the details. Please kindly hold on for a few minutes, I'll get back to you with a resolution ASAP.";en;Drugoe;drivers
69503173f48d95668e4ae199;;organisations/yandex/lines/taxi-prod-intl-partner-urdu;"Hi,

I've received your request and will thoroughly check all the details. Please kindly hold on for a few minutes, I'll get back to you with a resolution ASAP.";en;Drugoe;drivers
694e80d1f48d95668ea70280; driver\nSalam Hörmətli Uber!\n\nSürücüyə sifariş gəlmir köməklik edin;organisations/yandex/lines/taxi-intl-az-parks;"Salam Hörmətli Uber!

Sürücüyə sifariş gəlmir köməklik edin";az;Raspredelenie_zakazov;drivers
694e5f58f48d95668e1092c0; driver\nIs week weekly bonus launch kia is ki detail send karen;taxi_intl_pak_driver;Is week weekly bonus launch kia is ki detail send karen;ur;Drugoe;drivers
693572e1f48d95668e879be1; driver\nHii;taxi_intl_pak_driver;Hii;en;Drugoe;drivers
6940ee07f48d95668e612c19; driver\nHallo sir hallo sir maroma id ma lamo samaya dakhi request nai ayana pls check gArdinua pls ma waiting ma xu hajur 🙏🙏;organisations/yandex/lines/taxi-intl-nepal-driver;Hallo sir hallo sir maroma id ma lamo samaya dakhi request nai ayana pls check gArdinua pls ma waiting ma xu hajur 🙏🙏;ne;Drugoe;drivers
694b47a5f48d95668e059a83; driver\n783 xa balance maa withdraw garne bela kina 600 matra dekhauxa\n\n operator\nनमस्कार,\n\nम अहिले यो समस्याको बारेमा हेरिरहेको छु र सकेसम्म चाँडो तपाईंलाई सम्पर्क गर्ने छु। \n\n driver\n600 ta target pura gareko balance ho.. ani harek trip maa paaune extra bonus kata janxa...;organisations/yandex/lines/taxi-intl-nepal-driver;600 ta target pura gareko balance ho.. ani harek trip maa paaune extra bonus kata janxa...;ne;after_the_ride_didnt_get_a_bonus;drivers
693faeadf48d95668ef69b65; driver\nBeka mefethe atesatum malete Nw bonusun ahunm kelekelacug ayedale enasetekakelalen belacu wasacuga esi leman Nw kereta makerabe mecalaw;taxi_intl_eth_drivers;Beka mefethe atesatum malete Nw bonusun ahunm kelekelacug ayedale enasetekakelalen belacu wasacuga esi leman Nw kereta makerabe mecalaw;am;Drugoe;drivers
695507f7f48d95668eee045e;;organisations/yandex/lines/taxi-prod-intl-partner-urdu;sir ye ride startt hwi hai or drop off location py utara hai but client ny cencel ki hai or pro level rider ka kam ho gya hai;ur;Drugoe;drivers
69472262f48d95668eec48bf; driver\n4141302 шу заказимда килент маст экан йул кра кимматдеб  кам пул берди;intl_uzb_driver;4141302 шу заказимда килент маст экан йул кра кимматдеб  кам пул берди;uz;Drugoe;drivers
693888b8f48d95668e4d44df; driver\nBoa noite qual foi a viagem podem por favor especificar\n\n driver\nE o que que aconteceu do concreto?;taxi_intl_ago_driver;E o que que aconteceu do concreto?;pt;Drugoe;drivers
694d5897f48d95668e86b5b7;" driver\nToyota Raum Akk 440 Mc; Nota o passageiro quer ir a Mulotane bill nao bil a tricamo  falha localzacao ou usou mal o usuario";organisations/yandex/lines/taxi-prod-intl-driver-moz;"Toyota Raum Akk 440 Mc; Nota o passageiro quer ir a Mulotane bill nao bil a tricamo  falha localzacao ou usou mal o usuario";pt;Drugoe;drivers
6946b127f48d95668ea94744; driver\nMero ride doreko xa khii din paxi teii manxe pareko xa bonus ma aasar parxa Ki nai\n\n operator\nनमस्कार,\n\nम अहिले यो समस्याको बारेमा हेरिरहेको छु र सकेसम्म चाँडो तपाईंलाई सम्पर्क गर्ने छु। \n\n driver\nAali xito vandinu;organisations/yandex/lines/taxi-intl-nepal-driver;Aali xito vandinu;ne;Drugoe;drivers
6950b490f48d95668e82697b; driver\nMeroma chai 10 km ko Pani poisha 313 rupiya matro aauxa parpal jon vako timema poni k vako hola;organisations/yandex/lines/taxi-intl-nepal-driver;Meroma chai 10 km ko Pani poisha 313 rupiya matro aauxa parpal jon vako timema poni k vako hola;ne;Drugoe;drivers
693b9696f48d95668eb66ec4; driver\nSir g as driver Ka kal Ka bonus nhi dya Gia 16 ride complete ki thi driver ne;taxi_intl_pak_driver;Sir g as driver Ka kal Ka bonus nhi dya Gia 16 ride complete ki thi driver ne;ur;Drugoe;drivers
6952b3fbf48d95668e5266d1; driver\n10365351 yo ride ma pessanger le 100 meter agadi nai drop garna lagaunu vayo. Bonus ma add vayoo kenoi;organisations/yandex/lines/taxi-intl-nepal-driver;10365351 yo ride ma pessanger le 100 meter agadi nai drop garna lagaunu vayo. Bonus ma add vayoo kenoi;ne;Drugoe;drivers
6944e384f48d95668e91e5e7; driver\nHijo ni trips na Deko vayara bich mai chodna paryo asti ni tehi vaya aja ni testai testai dekhdai chu k aba yango na garnu ho;organisations/yandex/lines/taxi-intl-nepal-driver;Hijo ni trips na Deko vayara bich mai chodna paryo asti ni tehi vaya aja ni testai testai dekhdai chu k aba yango na garnu ho;ne;Drugoe;drivers
6932bfdbf48d95668eedff48; driver\nxndrumem mihat es atmena anoxnerin kharcneq vorna parjar@.chi kareli esqan atmena anel.nayeq inchqan arecin;intl_arm_driver;xndrumem mihat es atmena anoxnerin kharcneq vorna parjar@.chi kareli esqan atmena anel.nayeq inchqan arecin;hy;Drugoe;drivers
69528c62f48d95668ec0def4; driver\nBarev dzez, Es amsi 28-in gisher@ 1:30-i koxmer@, dzyan patcharov entarkvel em avtovtari, baxvelov bordzyurnerin, kxndrei hanel indz sev cucakic\n\n driver\nmeqenayi miayn anvadoxern er vnasvel, voronq es arden norogel em\n\n operator\nԲարև ձեզ։\n\nՄենք ստացել ենք ձեր հաղորդագրությունը․ կաշխատենք պատասխանել հնարավորինս արագ։\n\n driver\nexav, anchap shnorhakal em\n\n operator\nԱրդեն ստուգում եմ ձեր հարցին առնչվող տեղեկությունները, բայց կարող է մի փոքր ժամանակ պահանջվել։ Կկապվեմ Ձեզ հետ անմիջապես, հենց որ ամեն ինչ իմանամ։\n\n driver\nԵղավ, շնորհակալ կլինեմ եթե մինչև օրվա ավարտ ամեն բան կարգավորվի։\n\n operator\nԱրդեն ստուգում եմ մանրամասները: Անմիջապես կկապվեմ Ձեզ հետ, երբ ամեն ինչ պարզեմ: Շնորհակալություն սպասելու համար։\n\n driver\nՁեզ նույնպես շնորհակալություն։\n\n operator\nԵթե ձեր տրանսպորտային միջոցի վրա վնասվածքներ կան, ապա հասանելիությունը կարող է վերականգնվել միայն դրանք շտկելուց հետո։\n\nՈրպեսզի ձեր մեքենան կրկին կարողանա պատվերներ կատարել, խնդրում ենք ստուգում անցնել։ Դրա համար հավելվածի «Ախտորոշում» բաժնում ընտրեք «Ֆոտովերահսկում» կետը։\n\nՖոտովերահսկումն անցնելուց հետո անպայման գրեք մեզ արգելաբացման մասին որոշման համար։\n\n driver\nլավ մերսի շատ\n\n driver\nկներեք, բայց ֆոտովերահսկում չի լինում անել\n\n driver\nքանի որ դեռ ժամանակը չի լրացել;intl_arm_driver;կներեք, բայց ֆոտովերահսկում չի լինում անել;hy;Drugoe;drivers
69329295f48d95668e452fc8; driver\nमेरो डिसेम्बर ४ को बोनस किन आएन\n\n operator\nनमस्कार,\n\nम अहिले यो समस्याको बारेमा हेरिरहेको छु र सकेसम्म चाँडो तपाईंलाई सम्पर्क गर्ने छु। \n\n driver\nअहिलेसम्म आएको छैन आउनुपर्ने हो। किन होला यस्तो अनि पैसा नै नहाल्दिएपछि बोनस म कसरी राइड गर्ने त ल भन्नु त जो कि आफ्नो मेहनतको पैसा नै पाइँदैन\n\n operator\nअर्को विभागका सहकर्मीहरूले बोनससम्बन्धी जानकारी पुनः जाँच गर्दै हुनुहुन्छ। प्रमाणीकरण पूरा हुनेबित्तिकै हामी तपाईंलाई निर्णयका बारेमा सूचित गर्ने छौँ। यसलाई सामान्यतया केही घण्टा लाग्छ। प्रतीक्षा गर्नुपरेकोमा माफ गर्नुहोस्।\n\n driver\nअनि केही घण्टापछि मेरो वनस आउँछ कि नाई\n\n operator\nI'm already checking information regarding your request. But it might take some time. I will contact you as soon as I gather all the information.\n\n driver\nOkey do fast;organisations/yandex/lines/taxi-intl-nepal-driver;Okey do fast;en;Drugoe;drivers
694769c0f48d95668eb11c05; driver\nМижоз томон йулга чикганда бекор килди;intl_uzb_driver;Мижоз томон йулга чикганда бекор килди;uz;Drugoe;drivers
6950f7c2f48d95668ead69f3; driver\n10229313 yo ride maile priority chhange hudaina bajnera dekhayepaxi matra cancle gareko ho taipani kina priority katiyo?;organisations/yandex/lines/taxi-intl-nepal-driver;10229313 yo ride maile priority chhange hudaina bajnera dekhayepaxi matra cancle gareko ho taipani kina priority katiyo?;ne;Drugoe;drivers
69365828f48d95668edc0c42; driver\nBarev dzez kaseq indz qani ora mnacel vor darna 300 or aktiv varord\n\n operator\nԲարև ձեզ։\n\nՄենք ստացել ենք ձեր հաղորդագրությունը․ կաշխատենք պատասխանել հնարավորինս արագ։\n\n operator\nՇնորհակալություն, որ գրեցիք։ Առաջնահերթության նոր միավոր ստանալու համար ձեզ պետք է ևս 5 ակտիվ օր: Այս պահի դրությամբ դուք ունեք 295 ակտիվ օր:\n\nԴիմեք, եթե այլ հարցեր առաջանան, ուրախ կլինեմ օգնել։\n\n driver\nEt erekva ashxatac or@ ba xi chi hashvum\n\n operator\nԱրդեն ստուգում եմ ձեր հարցին առնչվող տեղեկությունները, բայց կարող է մի փոքր ժամանակ պահանջվել։ Կկապվեմ ձեզ հետ անմիջապես, հենց որ ամեն ինչ իմանամ։\n\n driver\n???\n\n operator\nԱրդեն ստուգում եմ մանրամասները: Անմիջապես կկապվեմ ձեզ հետ, երբ ամեն ինչ պարզեմ: Շնորհակալություն սպասելու համար։\n\n operator\nԱյժմ ձեր քաղաքում Առաջնահերթության միավորները տրամադրվում են ոչ թե ծառայության հետ համագործակցության ժամկետի, այլ պատվերներ կատարելու ակտիվ օրերի քանակի հիման վրա՝\n\n– 100 ակտիվ օրվա համար՝ Առաջնահերթության 1 միավոր\n\n– 200 ակտիվ օրվա համար՝ Առաջնահերթության 2 միավոր\n\n– 300 ակտիվ օրվա համար՝ Առաջնահերթության առավելագույն 3 միավոր\n\n driver\nDuq kartumeq inchem grum dzez asumem naxord anqam vor harcrelem aseciq 295 ora bayc es erek qshelem hima noric harcnumem asumeq 295 ora bayc piti lini 296 et vonc exav\n\n operator\nՄի փոքր ժամանակ տվեք, որպեսզի ամեն ինչ ստուգեմ։ Շուտով կվերադառնամ։\n\n operator\nՀարգելի վարորոդ տեսնում եմ, որ դուք ունեք 295ակտիվ օր։\n\nԴիմեք, եթե այլ հարցեր առաջանան, ուրախ կլինեմ օգնել։\n\n driver\nHargeli ashxatakic es nkarner@ knayeq\n\n driver\n???\n\n operator\nՄանրամասնեք, խնդրեմ՝ ինչո՞վ կարող եմ ձեզ օգնել։ Ես ուշադիր կարդացի ձեր գրածը, բայց առայժմ բավարար տեղեկություններ չունեմ ձեզ օգնելու համար։\n\n driver\nEs nkarum duq asumeq vor unem295 aaktiv or u amsativ@ nayeq\n\n driver\nEs nkarum erekva patvernerna exe u esor harcnumem aktiv oreri masin noric asumeq 295 vonc kbacatreq\n\n operator\nԱրդեն ամեն ինչ ստուգում եմ։\n\nԿփորձեմ արագ ճշտել և օգնել։\n\n driver\n???\n\n driver\n???\n\n driver\nErkar ktevi\n\n driver\n?;intl_arm_driver;?;hy;Drugoe;drivers
