task_language;rider_ml_message
"""es""";"""Tipo de Servicio:: Envíos, Cargo  Identificación del consumidor reclamante:: Persona Natural  Nombre:: Rosmery Quispe Huaman  Domicilio:: Cevichería alison   Tipo de Documento de Identidad:: DNI  Número de Documento: 60622860  Teléfono: 902383979  Correo Electrónico: rosmeryquispehuaman483@gmail.com  ¿Eres mayor de edad?: Si  Tipo de solicitud:: Queja (Disconformidad no relacionada con los servicios)  Monto reclamado: Se llevó mi cosas  Detalle del Producto o Servicio: Un batería y pila   Detalle de la Reclamación o Queja: Se llevó mi producto de y mis cosas   Fecha de Envío: 2026-03-30"""
"""uz""";"""Ассалому Алейкум"""
"""az""";"""Ay xanım siz mənim nə yazdigimi oxumadiz mən deyiremki kartımda pul olmadığına görə mən nağd vermişəm sürücüyə sürücüdə sorğu sualsiz gediş haqqını götürdü mənə heçnə demədi .Məndə sizə yazıb həmin gün bildirmişəm siz isə avtomatik kartimda pul olan kimi cixmisiz.Lakin mən sizə bunu bildirmisdim"""
"""hy""";"""Barev dzez"""
"""ro""";"""Bună ziua ! ultima comandă ! șoferul a avut pretenții ca am achitat cu cardul! Mi-a cerut să îi dau Chas ca el nu își poate achita planul"""
"""az""";"""Salam biz ramana  qedebesinden taksiye mindik taksi soferine dedikki wifimiz yoxdur aça bilersiniz acdi bizimde ustumuzde nagd pul yox idi basqa biri unvanda verecekdi yeni kartina atacaqdi dedim emi atirlar 5 dk bizi dernegulnyolunda benzin likde bizi dusurtu dava yaratdi  dediki 4 manatimi verin bura qeder bizde artiq 6 manatin atmisdiq ve surdu cixdi getdi bizi qoydur orda Zehmet olmasa maraqlanarsinizz"""
"""tr""";"""Araç sahibinin iletişim numarası alabilir miyiz Tamam teşekkür"""
"""en""";"""Hello,  I’ve been unable to log into the app and I’m unable to reach anyone to help me with it. And my subscription keeps renewing and I’m unable to cancel it, I don’t use yango and don’t want to ever use it. Please unlock my access to the app so I can cancel the subscription or please do it from your side immediately.  Phone number 0506115973  [Created via e-mail received from: alooch17@gmail.com]"""
"""en""";"""dear yango support,i am writing to report that i left my mobile phone in a yango ride.ride details:   - date & time: [6 may at near 2pm]   - pickup location: [iiui]   - drop-off location: [i-8 rewayat]   - driver name (if known):i request you to please contact the driver and help me recover my phone assoon as possible.thank you for your assistance.regards,[arooba sajid buty]lost mobile number :03488956839new number :03705624583[created via e-mail received from: javeria.bsba190@student.iiu.edu.pk]"""
"""tr""";"""merhabalar"""
"""hy""";"""Մեքենային մինչև ուղևորություն սկսելը խփեցին, վարորդի խնդրանքով չեղարկել եմ, բայց 400դր գանձել է"""
"""uz""";"""Meni raqamim boshqa telefonga ham ulanib qolgan u taxi chaqirsa menga telefon kelyqbdi"""
"""ka""";"""სხვაგან წავიდა ტაქსი რატომ ნაჭრით ფულს რა საშინელებაა"""
"""hy""";"""Բայց նայեք թե քանի անգամ գրեցիք բանկից կստանաք, բայց վերջը ձեզնից վերադարձավ։ լավ է չհասցրեցի բանկ գնամ"""
"""es""";"""Hola pague 2 veces este servicio"""
"""uz""";"""Ассаламу алайкум кеча эрталаб уйими калитини шу рака ли мошинада тушириб колдирганман. Илтимос ердам берсез. Тарона 16/16 дан мошинага утирганман, Бурхонидин Маргиноний139 да тушганман."""
"""en""";"""Hi, I’d like to highlight the very professional and pleasant service provided by the driver, Ilia. He was a very interesting person to talk to, and the trip went perfectly. Please, pass on my thanks to him"""
"""uz""";"""Men ushbu buyurtma uchun 28 ming so’m naqd to’ladim. Kartamdan yechilgan pullarni va yozilgan qarzni o’chirishingizni so’rayman"""
"""uz""";"""Assalomu aleykum"""
"""es""";"""Gracias"""
"""en""";"""400 298 was the fare"""
"""es""";"""Una pregunta, si pido yango cargo En ese mismo vehículo me iré o tengo q irme en otro vehículo al destino donde irá el ya go cargo"""
"""es""";"""Tipo de Servicio:: Viajes  Identificación del consumidor reclamante:: Persona Natural  Nombre:: Jessica Roca Casimiro   Tipo de Documento de Identidad:: DNI  Número de Documento: 72719333  Teléfono: 966092116  Correo Electrónico: roca.casimiro.1@gmail.com  ¿Eres mayor de edad?: Si  Tipo de solicitud:: Reclamo (Disconformidad relacionada con los productos o servicios)  Monto reclamado: 13.40  Detalle del Producto o Servicio: Viaje desde centro empresarial en San Isidro hasta Rio Grande 326 en Pueblo Libre   Detalle de la Reclamación o Queja: El monto de cobro desde el inicio fue de 36.20, pero mucho después de finalizar el viaje se me ha cobrado 13.40 adicional con la excusa que no me ha dejado en el punto de llegada final lo cual es falso. Este monto extra se ha generado automáticamente porque el conductor no ha finalizado el viaje y ha cobrado demás. Reclamo la devolución de mi dinero.   Fecha de Envío: 2026-05-02"""
"""uz""";"""Assumalomu Aleykum shu Taxsisga pul berilmapti Cash belgilangan Karta deb o'ylashibdi shunga to'lov qilmoqchiman"""
"""hy""";"""Բարև Ձեզ։ Տիգրան Մեծ10, Սիթիի դրան մոտ ,պատվիրելիս `2000։ Մեքենան չի երևում, ցույց է տալիս արդեն սպասում է։ Զանգ վարորդին֊թե մոտենում եմ, հասնում եմ։ Ստացվում է 2300, բայց վարորրդի մոտ ցույց է տվել  2200, և Սիթիի հակառակ մայթն։ Սա վարորդի սխալը չի լինի, կարծում եմ։ Բայց շատ անհարմար էր։"""
"""en""";"""ok so my names malitino mutale that my full name please i need my thingsbackon tue, 5 may 2026, 15:52 support, <support@yango.com> wrote:> i understand your concern about your items.>> i want to help you, but i see that the mail from which you are currently> contacting us is not linked to your application. without it, i can not> check if this is your order and send you all the information.>> please add this email address to your account. to do this, click on the> avatar in the upper left corner and select the \""add mail\"" field. then> confirm your email.>> also you can contact us directly from the application's \""support\"" section.>> please, feel free to write me back if i can help you with anything else.>> take care.>> yango support team>"""
"""ka""";"""გაამარჯიბა 17:13ზე გამოვიძახე 4 წუთი აწერია რამდენიხანია ვურეკავ მითიძავს ნორმალურია ?"""
"""ka""";"""პირველი ტაქსი რომელიც გამოვიძახე აქვე კეკელიძეზე გაუსკდა საბურავი,და გამოვიძახე მეორე,თქვენი გაუმართავი მანქანის გამო დავაგვიანე ექიმთან ვიზიტზე,გამომიგზავნეს შეტყობინება და მეორე ტაქსიდან ჩამოვედი კეკელიძეზე,16ლრისთვინ მახდევინებთ"""
"""es""";"""Hola hice un reclamo de este viaje para una devolución no me dieron más respuesta ya que fue un cobro doble y ya mandé toda la información."""
"""es""";"""Buenos días tengo una queja y exijo que se me aplique el descuento pague por nequi por una promoción en la aplicación q si cancelaba por medio de la App me aplicaban el 30%de descuento y no se aplico"""
"""ka""";"""სალამი ტაქსი არ მოვიდა სხვაგან წავიდა და თანხა ჩამომაჭრა"""
"""es""";"""Buenas noches es para informar que se me quedaron unos audífonos  originales  en el carro me estoy intentando comunicarme con el conductor y no es posible para si me puedes hacer el favor de devoovermelos"""
"""en""";"""How much is 43 points ?"""
"""uz""";"""Mening kartamdan pul yechildi, lekin tizimda bekor qilingan deb ko‘rsatyapti. Shunga qaramay, pul hali ham kartamga qaytib tushmadi. Iltimos, shu holatni tekshirib berishingizni so‘rayman."""
"""es""";"""Gracias"""
"""en""";"""hey"""
"""es""";"""Necesito pedir una moto"""
"""en""";"""Hello, why are there two orders within just two minutes? I couldn’t possibly be taking two rides at the same time."""
"""fr""";"""Rien n’a été modifié vous êtes que des voleurs votre service devient de plus en plus mediocre, acceptez juste"""
"""en""";"""The driver was not listening to my directions and didn’t even follow the map also. He took the longer route and made the fare increase"""
"""ka""";"""სადღაც ჯანდაბაში რომ აჩერებს მძღოლი ამ ევიმაში არც მოდის და ნაგლადდ მოლოდინის რეჟიმს მირთავს აქეთ თანხას მსჭრით კიდე? დამაგვიანდაა გავილუმპე   და აქეთ მაჭრით? დამიბრუნეტ ახლავრ"""
"""en""";"""Hello"""
"""es""";"""Buenas tardes mi problema no fue el conductor al contrario es muy amable mi inconveniente es con la aplicación me coloco una ubicacion donde no estaba y raiz de eso el costo subio cuando tome el servicio salio 10400 cuando me recogip el señor ya habia subido 11400 y me trajo a la direccion ya a 13200 por que debe ser asi cuando una ve un valor diferente y advierte que uno se encuentra es una entrada principal No se me hace chevere Buenas noches"""
"""uz""";"""Assalomu Alekum Yandexga ulagan kartamni udalit qlomadim"""
"""en""";"""I forgot my wallet in the car Please contact the driver and let me know"""
"""es""";"""Nadien puede solucionar mi priblema Q tengo con la verificación de mis stick No pueden solucionar mi problema Servicio De asistencia Buenas tardes Buenas tardes Buenas noches Servicio De asistencia Servicio de asistencia Por fsvor Hola servicio de asistencia Por favor Tengo un pequeño problema No trabajo desde el jueves tuve un accidente Con la moto y ese día  o cualquier día yo nunca le pido dinero más a el cliente ni nada incluso yo ni le cobro Y me bajaron 50 puntos pero no entiendo xq yo no mando a cancelar carrera ni las omito más bien quiero hacerla todas pero no entiendo xq también los clientes se comportan así Perjudican a uno No he podido salir a trabajar xq estoy de reposo pero quiero w me arregle eso"""
"""fr""";"""Merci beaucoup Cher Yango   Je vous souhaite bonne soirée"""
"""ka""";"""გამოვედი და არიყო ადგილზე"""
"""en""";"""I have order taxi on 27 feb but the driver said that taxi got cancelled by card so i give him cash for ride but then it’s showing payment due of 17.1 gel so please help in this ride"""
"""uz""";"""Assalom aleykum yaxwimisiz"""
"""es""";"""Hola El viaje fue pagado Me estás cobrando O no pasaste como pagado Okey Se pagó ese viaje por Yape Hola Me hicieron cobro doble El mismo viaje"""
"""ka""";"""გამარჯობა მძღოლმა ,,მგზავრობა დაიწყო\"" მოსულიც არ იყო და გავაუქმე შორს იყო და ვეღარ გავიგე,მეჩქარებოდა და გავაუქმე თანხაც ჩამომეჭრა"""
"""fr""";"""Bonjour j’ai payé 2fois veuillez me rembourser please"""
"""uz""";"""Assalomu aleykum"""
"""en""";"""Assalam alaikum I have a complain"""
"""ka""";"""გამარჯობა ეხლა გამოვიძახე და ჩაისვა სხვა მგზავრი თანხა მე ჩამომაჭარა ვითხოვ თანხის უკან დაბრუნებას"""
"""es""";"""Si conductor no quiso llevarme, llegó al punto al parecer porque quería más dinero a lo que salía en la aplicación. El no canceló, tuve que cancelarlo y por culpa de consultor me han cobrado 0.80 soles por lo que solicito se me devuelva"""
"""es""";"""Esq la VDD mo nesecito contacte de nuevo"""
"""en""";"""dear yango support team,i am writing to formally lodge a serious complaint regarding a deliveryincident that occurred today involving one of your riders.i placed an order from kfc (order #19025037) worth rs. 1300, which wasassigned to your rider, hussain taha (bike: kjj6032). the rider picked upmy order from lucky mall but did not deliver it. instead, he ended the rideimmediately after pickup and has since been unresponsive to calls andwhatsapp messages.this behavior is completely unacceptable and raises serious concerns aboutcustomer safety and service reliability. this is not just poor service—itappears to be deliberate misconduct.i request the following actions on an urgent basis:   - a full refund of my order amount (rs. 1300)   - a thorough investigation into the rider’s conduct   - strict disciplinary action against the rider involved   - assurance that such incidents will not occur againi have attached the relevant screenshots and details for your reference.please treat this matter with urgency and provide a prompt resolution.if this issue is not addressed promptly, i will be compelled to escalate itfurther.looking forward to your immediate response.sincerely,waleed rashid0310-2523396[created via e-mail received from: waleedrashidkhan@gmail.com]"""
"""ka""";"""Gamarjobat am mbzavrobaze barati mqonda mititebuli da tanxac miveci mdzgils da baratic daminusda da raeshveleba"""
"""es""";"""Hola"""
"""az""";"""Salam Mənim bayağ gəldiyim taksi ilə əlaqə saxlaya bilərsiz? Adapterim maşına düşüb deyəsən"""
"""uz""";"""Ай ит амган хороминга буюргай илайим"""
"""uz""";"""MAXMUDOV OZOD SALOXIDDIN O'G'LI  Mashinada narsa qolgan"""
"""en""";"""Hi .. I had booked a ride from Jinnah to dha..  I waited for driver 4 to 5 minutes..  but he added wait time n increase charges .. why he added wait time and why he  raised his charges .. kindly cooperate..thanks"""
"""en""";"""He just misbehaved and ask to cancel the ride because he don’t have space in his trunk to adjust my luggage"""
"""es""";"""buen día,reporto un caso grave de hurto mediante la plataforma yango.el conductor jaime alberto , con placa wml388, recogió un paquete avaluadoen $150.000 cop y no realizó la entrega ni devolución.el mismo indicó que “haría la devolución porque la app le paga”, peroprocedió a quedarse con el paquete.solicito:reembolso total inmediatobloqueo del conductorinformación para proceso legalen caso de no recibir solución, procederé con denuncia ante la fiscalía yla superintendencia de industria y comercio.quedo atento.[created via e-mail received from: gabrielortiz.barberia@gmail.com]"""
"""uz""";"""Araphona    qilogʼi"""
"""uz""";"""Мени конфорт юриятганлиги сабабли олиб бораолмаслигини айтиб олиб бормади шунинг учун мени куйилган карздорлигн и ечишингизни сурайман"""
"""en""";"""Hi I was just charged for a ride I never received"""
"""es""";"""Buenas noches"""
"""en""";"""the driver started the ride without letting me in and the payment got deducted from my card please refund my amount as soon as possible"""
"""en""";"""The driver tooked the longer toute that made the fair rise from 788 to 1100+"""
"""es""";"""Buenas tardes, el conductor se fue sin esperar, y tuve que cancelar el viaje"""
"""ur""";"""Ab tou jawab doo Aj mana ek ride. Book ki thi rider aaya and usna mujhe baat ki and ride cancel kar ke chal gya jis ma Mera yeh wala coupon waste ho gya ku Yeh Kya baat hoai Half of the time going booking your ride and half in reporting Aap na subha bhi yehi baat ki thi"""
"""es""";"""Buenas noches. Ayer realice un viaje por la aplicación y no me di cuenta que tenía la plata del yapeo en la banca del BCP. No sé generó el pago directo pero se le pago al chófer de todas maneras. Quisiera saber cómo hago que salga esto de q debo un monto q si cancele?"""
"""en""";"""Driver started ride without me. I called him twice, he rejected my calls both the timea Why should I be charged for my inconvenience?"""
"""es""";"""Buenos dias, tengo un inconveniente con el pago de esa carrera la cual no se realizo por cancelación del conductor La aplicacion no tomo el mismo pago no usado por lo que tuve que pagar dos veces"""
"""en""";"""Have a good day"""
"""uz""";"""Taksis momulasi nol sokib chiqarvoti kartada pulim disam chora korila"""
"""ka""";"""მადლობა ძალიან დიდი"""
"""ka""";"""გამარჯობა"""
"""en""";"""How do we schedule a ride for later in yango"""
"""es""";"""Buen día pague en efectivo al taxi pero mi Yape está afiliado que puedo hacer para q me devuelvan"""
"""es""";"""Es un conductor muy inrespetuoso q me dejó en media calle. Sin terminar su carrera hablaba de seguridad y ni casco para el pasajero tenía  Le comenté q no es Primera vez q voy en moto y agarro y me bajo cuando eso no se hace"""
"""es""";"""Quiero verificar que se hizo el pago del último servicio por 27000"""
"""sr""";"""Причина эскалации: Urgent  Телефон для связи: +381 60 7101354  Телефон, указанный в заказе: +381 60 7101354  Дата поездки: 2026-05-05  Время поездки: 00:00  Комментарий: napad do strane vozaca"""
"""uz""";"""Assalomu alaykum"""
"""es""";"""Hola hoy solicité un servicio, al momento del cobro era bastante superior al pactado al solicitar el servicio y no hubo motivo del incremento se siguió la ruta"""
"""uz""";"""Yuz bergan holatni maksimal darajada batafsil bayon qiling: Ilovada ko'rsatilgan telefon raqami: 998880341201 Iltimos, raqamni o'chirmang, u biz tomonimizdagi kerakli ma'lumotlarni topish uchun kerak bo'ladi.   \\\""Haydovchi meni olmadi, boshqa odamni olib ketdi. Bekor qilishsiz pul yechildi. Pulni qaytarib bering.\\\""Salom. Men taksi chaqirgandim, lekin haydovchi meni olmadi va boshqa odamni olib ketdi. Shunga qaramay, kartamdan 5000 so'm yechib olindi. Men safardan foydalanmadim. Iltimos, pulimni qaytarib bering."""
"""es""";"""Buenas noches en el servicio que tome ahorita  conductor me cobró más disque tiempo de espera  viendo que él llegó mal antes yo lo esperé"""
"""es""";"""Buenas noches"""
"""en""";"""Hello I need help with my mobilr Mobile Forget it in the taxi"""
"""fr""";"""Bonsoir j’ai commandé et le chauffeur m’a demandé d’annuler"""
"""hy""";"""Բարև Ձեզ, կներեք հայտը լրանցնելուց հետո ինչքան ժամանակ հետո կապ կհաստատեն ?"""
"""es""";"""Hola que tal"""
"""hy""";"""Yes hamakarjichs em moracel meqenayummm"""
"""other""";"""[created via e-mail received from: info@arbitro.az]"""
"""other""";"""lriv debila dzer varorde"""
"""es""";"""Hola me olvide mi llave en la moto"""
"""en""";"""What is this behavior guys"""
"""uz""";"""Раҳмат кутаман"""
"""en""";"""dear yango support team,i am writing to report an issue i experienced as a pessenger during myrecent ride. firstly, driver asked us to cancel the ride and said that ican drop you without the app as a personal ride and says kay 17% kat rhyhain mushkil horhi hai. secondly, when i didn't accept his request hecancelled it without our consent, i got to know when i opened my app.lastly, i never had face an issue like this before. i kindly request yourassistance in this matter. please let me know if you require any furtherinformation from my side.best regards,mariam0333-2303-157marriumkhan999@gmail.com[created via e-mail received from: marriumkhan999@gmail.com]"""
"""es""";"""Tipo de Servicio:: Viajes  Identificación del consumidor reclamante:: Persona Natural  Nombre:: Cynthia Rubina   Domicilio:: Calle 4 Lote 9 Urbanización Carabayllo   Tipo de Documento de Identidad:: DNI  Número de Documento: 75914792  Teléfono: 989 121 331  Correo Electrónico: cynthia.rubinaramirez@gmail.com  ¿Eres mayor de edad?: Si  Tipo de solicitud:: Reclamo (Disconformidad relacionada con los productos o servicios)  Monto reclamado: 8.10  Detalle del Producto o Servicio: Cobro por servicio mal cumplido   Detalle de la Reclamación o Queja: El taxi no sabia la ruta cada momento me increpaba de manera grosera que le de las indicaciones de la ruta y tal fue la incomodidad qué me tuve que bajar antes de mi parada tuve que tomar una moto para poder llegar a mi universidad, muy aparte el conductor se cobró adicional 1.30 por la distancia   Fecha de Envío: 2026-05-05"""
"""en""";"""Hello Team There is a problem Please connect"""
"""es""";"""Buenas este ride nunca llego a mi dirección y marco como si me hubiera subido Tuve que pedir otro y estaban ya 7bs más caros"""
"""es""";"""Hola buenos días"""
"""en""";"""my yango account has been blocked due to a false complain by a client[created via e-mail received from: mwelwamartin31@gmail.com]"""
"""uz""";"""Тахсий ози отказ килинг 8 км деб нимага пул есасизлар"""
"""he""";"""‏רציתי להגיד לו סליחה על זה שביטלתי כי אני לא הייתי יכול עכשיו בדיוק"""
"""fr""";"""Salu"""
"""es""";"""Muy mal servicio manejo terrible hizo raspar a mi mamá toda"""
"""en""";"""He’s a thief and dangerous because he refused to come where I am and when I followed him He was with 8 other guys"""
"""es""";"""Quiero dar una queja"""
"""uz""";"""Nega taxi chaqra olmayapman ?"""
"""en""";"""I order taxi yesterday morning, the taxi did not come, and I was charge for cancel   ![](cid:ii_19dfd2eb7c4f9cb7ee91)      On Wed, May 6, 2026, 4:00 AM Support <[support@fasten.com](mailto:support@fasten.com)> wrote:   > I'd love to help, but I want to make sure I get all the details right. Could you please give me more details about what happened?"""
"""az""";"""Salam taksi məndən uzaqda saxlayıb ləğv etməyimi istəyir Ünvana catmadığı halda"""
"""ar""";"""Assalamualaikum"""
"""es""";"""Hola"""
"""fr""";"""Bonjour Mon client n'était pas censé lui remettre l'argent de l'article 36.000fcfa, il ne m'a pas compris et il lui a donné l'argent donc le livreur devait me faire un dépôt depuis hier 16h environ Hier 5 mai 15h03"""
"""hy""";"""Barev dzez varirdy gnachela aranch ind gumary qartichs gandvela. Gumars het veradarchreq 600 dram Voch"""
"""en""";"""Hi I pay cash 1400"""
"""es""";"""Buenas el joven del taxi le dió un monto mucho más a la tarifa que me salio Me cobró 30 soles"""
"""ro""";"""trebuia sa achit 176 de lei pe cursa iar  taxistul mia cerut 250 si mia spus ca aceasta este plata cand pe aplicatie era 176 mdl"""
